[Fees],,,,,
!Label,!License Type Abbr,!Application Type,!Flat Rate,!Apply Tax,!Removable
Certified Bakery or Establishment.,CBE,new,375,Yes,Yes,,,,,,,
Certified Bakery or Establishment.,CBE,renewal,375,Yes,Yes,,,,,,,
Certified Cupcake Baker.,CCB,new,35,Yes,Yes,,,,,,,
Certified Cupcake Baker.,CCB,renewal,35,Yes,Yes,,,,,,,
Fiber Network Specialist Junior Apprentice.,JA,new,75,Yes,Yes,,,,,,,
Fiber Network Specialist Junior Apprentice.,JA,renewal,75,Yes,Yes,,,,,,,
Fiber Network Specialist Apprentice.,A,new,75,Yes,Yes,,,,,,,
Fiber Network Specialist Apprentice.,A,renewal,75,Yes,Yes,,,,,,,
Fiber Network Specialist Senior Apprentice.,SA,new,75,Yes,Yes,,,,,,,
Fiber Network Specialist Senior Apprentice.,SA,renewal,75,Yes,Yes,,,,,,,
Fiber Network Specialist Certified.,C,new,100,Yes,Yes,,,,,,,
Fiber Network Specialist Certified.,C,renewal,100,Yes,Yes,,,,,,,
Widget Engineer,WE,new,150,Yes,Yes,,,,,,,
Widget Engineer,WE,renewal,150,Yes,Yes,,,,,,,
Widget Developer,WD,new,125,Yes,Yes,,,,,,,
Widget Developer,WD,renewal,125,Yes,Yes,,,,,,,
,,,,,
,,,,,
[Fee Modifiers],,,,,
!Fee Label,!Label,!Application Type,!Rate,!Start Range,!End Range
Widget Developer,Discount,new,-25.5,-3 months,-0 days
Widget Developer,Extra Charge,new,17.25,-2 months,-0 days
Widget Developer,Early Charge,new,5.4,-90 days,-60 days
Widget Developer,Late Fee Charge,renewal,30,+1 day,+1 month
